,episode_number,Episode_title,description,Episode_runtime,Released_on
35,3636, Popatlal And Vidya,"Popatlal decides to meet Vidya at the school where she works as a teacher. Meanwhile, Gogi and Goli's parents begin to grow suspicious about their activities.",21 mins,08 Dec 2022
36,3637, Angry Sudhakar,Sudhakar is fuming with anger and decides to confront Bhide about Popatlal's actions. What will happen when Popatlal returns to Gokuldham?,21 mins,09 Dec 2022
37,3638, Bhide's Wrath,Bhide is furious with Popatlal for his actions and chases him all around the colony. What will happen when Bhide finally gets his hands on him?,20 mins,10 Dec 2022
38,3639, Popatlal Hides,Popatlal sneaks into Iyer and Babita's house to escape Bhide's wrath. But how long will it be before Bhide catches him?,20 mins,12 Dec 2022
39,3640, Search For Popatlal,"Popatlal hides inside Taarak's house when Iyer refuses to help him. Meanwhile, Bhide looks everywhere around the society in search of Popatlal. What will happen when Popatlal finally catches up to him?",20 mins,13 Dec 2022
40,3641, Popatlal's Escape,Taarak tries to lure Bhide away so that Popatlal can escape from the society. Will Popatlal find a safe place to hide?,22 mins,14 Dec 2022
41,3642, Bhide Suspects Everyone,Bhide starts doubting everyone and thinks that they are helping Popatlal hide. Will someone slip up and reveal the truth?,22 mins,15 Dec 2022
42,3643, Bhide Confronts,Bhide is unable to find Popatlal and his friends tell him to leave the matter for now and confront him when he returns. What will happen next?,21 mins,16 Dec 2022
43,3644, Sudhakar Mama Warns Gokuldham Society,Sudhakar Mama arrives in Gokuldham society along with other people from his village to confront Bhide and Popatlal. Will Popatlal finally show his face?,22 mins,17 Dec 2022
44,3645, Bhide's Decision,Chalu Pandey agrees to find Popatlal on the condition that Bhide will not take the case back under any circumstance. What will Bhide do now?,21 mins,19 Dec 2022
45,3646, Police Complaint Against Popatlal,"Gokuldham residents are shocked when they learn that Bhide has filed a police complaint against Popatlal. However, Popatlal is still nowhere to be found. What will happen now?",21 mins,20 Dec 2022
46,3647, Finding Popatlal,Chalu Pandey reassures Bhide that they will find Popatlal in time. He thinks that Popatlal is hiding within the society compound and assigns a special agent to sniff him out.,20 mins,21 Dec 2022
47,3648, Truth Revealed,Everyone who helped Popatlal gets forced to reveal the truth in front of Bhide. Will Popatlal finally show his face?,21 mins,22 Dec 2022
48,3649, Will Popatlal be Caught?,Chalu Pandey and his canine look for Popatlal all over the colony. Can 009 find Popatlal's distinct smell and trace him?,22 mins,23 Dec 2022
49,3650, Inspector Pandey's Celebration,Inspector Pandey catches Popatlal and asks the rest of the members to back off. Will his celebration of catching the first criminal in Gokuldham Society last long?,21 mins,24 Dec 2022
50,3651, Sudhakar Mama Wants Popatlal,Sudhakar Mama arrives at Gokuldham along with a group of people from his village. Will Bhide and the others hand over Popatlal to them?,22 mins,26 Dec 2022
51,3652, The Eye Opener,The tables seem to have turned as Sudhakar and Vidya thank Popatlal for opening their eyes. Will Popatlal's wish of getting married finally be fulfilled?,21 mins,27 Dec 2022
52,3653, Unlucky Popatlal,"Popatlal proves to be unlucky once again, as he finds out that Vidya loves someone else. Meanwhile, Chalu Pandey is adamant about arresting Bhide, as per their deal.",21 mins,28 Dec 2022
53,3654, Sonu Ke Special Guests,Sonu prepares breakfast for the special guests that are coming to her house. Bhide and Madhavi are puzzled by the change in her behaviour. Who will the special guests be?,22 mins,29 Dec 2022
54,3655, Year End Sale At Gada Electronics,"Bhide tells Jethalal and Bapuji about the events that transpired between Popatlal and Sudhakar Mama. Meanwhile, Bagha and Nattu Kaka come up with an innovative offer for increasing sales before the New Year.",22 mins,30 Dec 2022
55,3656, New Year Ki Party Ka Rang,Tapu Sena takes Bhide's help to plan a party for New Year's Eve. They decide to let everyone draw chits with a random colour that they would have to wear at the party.,21 mins,31 Dec 2022
56,3657, Gokuldham Welcomes The New Year,"Gokuldham residents come together to celebrate the New Year together. However, Taarak is worried that something might go wrong. Will Taarak's fears come true?",22 mins,02 Jan 2023
57,3658, Naye Saal Ka Naya Suvichar,"Bhide kicks off the new year by writing the thought of the day in Sanskrit. However, many Gokuldham residents are puzzled by the meaning behind the thought. Who will be able to decipher its true meaning?",20 mins,03 Jan 2023
58,3659, Bharat Ki Pracheen Bhasha,"Jethalal tries to decipher the meaning behind the thought written in Sanskrit. Meanwhile, Bagha brings good news for Jethalal in the morning.",21 mins,04 Jan 2023
59,3660, Naye Saal Ki Khushkhabri,"Jethalal finds out that the profits of Gada Electronics have increased by fifty per cent over the past year. Meanwhile, Bagha rushes to meet Bawri, who has just returned from Kanpur.",22 mins,05 Jan 2023
60,3661, Bagha Ka Toota Dil,Bagha gets worried as Bawri gets late for their date. He goes to Bawri's house to check on her but finds that her house is locked.,21 mins,06 Jan 2023
61,3662, Bagha Ki Tragic Love Story,Bagha gets depressed when Bawri refuses to talk to him. Will Nattu Kaka and Jethalal be able to cheer up his mood?,21 mins,07 Jan 2023
62,3663, Badey Order Ki Tension,"Jethalal is anxious as he receives a large order, but Bagha is in no condition to work. Meanwhile, Jethalal seeks Taarak's help to find a solution to this problem.",22 mins,09 Jan 2023
63,3664, Bagha Bhaag Gaya,"Bagha runs away from home and is not picking up his phone. Meanwhile, Jethalal gets tensed about completing the order on time.",21 mins,10 Jan 2023
64,3665, Bagha Ho Gaya Seedha,"Jethalal and the others find Bagha inside a bar, drinking away his sorrow. What will happen when Bagha drinks too much?",21 mins,11 Jan 2023
65,3666, Party Sharty Ka Nateeja,"Bagha creates a ruckus in the society, and no one is able to handle him. What will Gokuldham residents do now?",22 mins,12 Jan 2023
66,3667, Bagha Ki Zidd,Taarak and Anjali come up with a plan to get Bagha to step down from the balcony. Will their plan work?,21 mins,13 Jan 2023
67,3668, Nashe Mein Bagha,Bagha's drunk antics become a problem for the entire colony. Can a solution be found?,20 mins,14 Jan 2023
68,3669, Bawri Vapas Aa Gayi,"Bagha finally takes a sigh of relief when the real Bawri comes in front of him. However, Jethalal is still worried about completing the order on time.",22 mins,16 Jan 2023
69,3670, 50 TV Ki Delivery,"Jethalal is worried that he has to deliver fifty TVs, but Bagha and Nattu Kaka are not picking up his calls. What will Jethalal do now?",21 mins,17 Jan 2023
70,3671, Jethalal Ki Angoothi,Jethalal loses his ring in the society compound. Will Bhide be able to help him find his ring?,21 mins,18 Jan 2023
71,3672, Bawri's Surprise,"Madhavi tells Bhide that the neighbouring society has experienced some ghostly activities. Meanwhile, Bawri arrives at Gada Electronics to surprise Bagha.",21 mins,19 Jan 2023
72,3673, Employee Aur Boss Ka Rishta,"Nattu Kaka and Bagha ask Jethalal to increase their salary. Meanwhile, Taarak gets in trouble with his boss for trying to skip work.",21 mins,20 Jan 2023
73,3674, Taarak Gives Anjali A Surprise,"Jethalal gets worried when Taarak does not answer his calls. Later, Taarak calls Anjali to give her a piece of good news.",22 mins,21 Jan 2023
74,3675, Taarak Ki Good News,Taarak calls Jethalal to his house to tell him some good news. What will the good news be?,21 mins,23 Jan 2023
75,3676, Yellow Shirt Ki Problem,Taarak burns his yellow shirt while ironing it. He asks his fellow Gokuldham society members for their help.,21 mins,24 Jan 2023
76,3677, Taarak Ki Akhri Ummeed,"Taarak borrows Dr Hathi's yellow shirt, and Anjali helps him alter it. Will Taarak's problem finally get solved?",21 mins,25 Jan 2023
77,3678, Taarak Ka Luck,"Iyer lends his yellow shirt to Taarak, which fits him perfectly. Gokuldham residents wish him luck for the meeting. Will things go in Taarak's favour?",21 mins,26 Jan 2023
78,3679, Taarak Phas Gaya,"Taarak gets into an accident in the morning, which spoils his yellow shirt. Everyone blames Jethalal for putting Taarak in that situation. What will happen now?",21 mins,27 Jan 2023
79,3680, Taarak's Green Shirt,"Bapuji decides to go and talk to Taarak’s boss. Later, when Taarak and Bapuji arrive at the office, everyone is shocked to see Taarak’s green shirt.",21 mins,28 Jan 2023
80,3681, Badey Guru Ji Ke Darshan,"Taarak arrives at the office, and his boss sees him in a green shirt. Will Bapuji's plan work out?",20 mins,30 Jan 2023
81,3682, Badey Guru Ji Ki Advice,"Taarak gives the presentation in front of the clients. However, the clients are not satisfied with his presentation. What will happen now?",21 mins,31 Jan 2023
82,3683, Bapuji Ki Jaadui Chhadi,"Taarak shares the good news with all the Gokuldham residents and tells them about Bapuji's brilliant idea. Meanwhile, Anjali prepares for the Europe trip.",22 mins,01 Feb 2023
83,3684, Boss Ka Surprise,Taarak's boss decides to pay Taarak a surprise visit in the morning. What will Taarak do now?,21 mins,02 Feb 2023
84,3685, Surprise Gift For Taarak,"Taarak's boss arrives at Gokuldham, and Taarak receives him at the society gate. Meanwhile, Jethalal and Sodhi look for him in the park.",21 mins,03 Feb 2023
85,3686, Bade Guruji,"Taarak’s boss sees Champaklal and says he wants to meet Bade Guruji. Everyone tries to stop him, but he doesn’t listen.",21 mins,04 Feb 2023
86,3687, Jhoot Ka Jaal,"Bapuji explains how he managed to hide from Taarak's boss. Later, Taarak unboxes the gift his boss gave him.",22 mins,06 Feb 2023
87,3688, Tapu Sena's Request,Tapu Sena requests Bhide to buy new games for the society clubhouse. Will Bhide approve their request?,20 mins,07 Feb 2023
88,3689, Bagha Ki Laparvahi,"Bhide is curious about Tapu Sena's surprise gift. Meanwhile, Jethalal scolds Bagha for talking to Bawri during working hours.",22 mins,08 Feb 2023
89,3690, Bagha's Ghost Story,"Jethalal gets angry when Bawri shows up at the shop to meet Bagha. Later, Bagha scares Jethalal with a ghost story.",22 mins,09 Feb 2023
90,3691, Mystery Box In Gokuldham,Gokuldham residents find mystery boxes outside their homes in the middle of the night. Who could be the one behind this prank?,21 mins,10 Feb 2023
91,3692, Prankster Of Gokuldham,"Rest of the Gokuldham residents open their mystery boxes and find that they all have been pranked. However, Bhide has figured out who is behind this mischief. Will his hunch be correct?",21 mins,11 Feb 2023
92,3693, Bhide Ka Shak,Bhide begins to think that Goli is the one behind the prank. Will Bhide prove to be right this time?,21 mins,13 Feb 2023
93,3694, Toofan Aa Gaya Hai,The prankster writes a cryptic message on the society notice board. Gokuldham residents are scared and they think that a ghost is behind all of this. What will happen now?,20 mins,14 Feb 2023
94,3695, Bhoot Ka Hungama,"Bhide, Popatlal and the others look for the ghost on the terrace. Meanwhile, Gokuldham residents find a speaker in the middle of the society compound.",22 mins,15 Feb 2023
95,3696, Prankster Ki Shart,"Gokuldham residents are scared and confused as the lights go off in the clubhouse. Meanwhile, the prankster places a very strange condition in front of the society members.",20 mins,16 Feb 2023
96,3697, The Prankster Returns,The prankster appears before the society member and he turns out to be none other than a member of Gokuldham. Who could this prankster be?,19 mins,17 Feb 2023
97,3698, Tapu Ka Dhamakedar Surprise,"Tapu surprises everyone by coming back. Champaklal and Abdul say they helped Tapu in surprising everyone. Later, Tapu apologizes to everyone for scaring them.",20 mins,18 Feb 2023
98,3699, Tapu Brings Gifts,"Tapu brings special presents for all Gokuldham residents, and he decides to gift them in the middle of the night. Is Tapu planning another prank?",21 mins,20 Feb 2023
99,3700, Tapu Ka Style,"Tapu makes everyone happy with his thoughtful gifts. In the morning, Sonu decides to prepare a special breakfast for Tapu.",21 mins,21 Feb 2023
