,episode_number,Episode_title,description,Episode_runtime,Released_on
0,3601,Bhide Ka Sabse Bada Darr,"The painting job in Gokuldham begins in full zest. However, Bhide is anxious about things going wrong. Will all of his worries come true?",21 mins,28 Oct 2022
1,3602,Diwali Ki Excitement,Gokuldham residents are excited to celebrate Diwali in the newly painted society. But will the contractor be able to complete the work on time?,20 mins,29 Oct 2022
2,3603,Bad News For Bhide,The contractor gives Bhide the bad news and tells him that the painting job won't get finished on time. What will Bhide do now?,20 mins,31 Oct 2022
3,3604,Saving Diwali,"Bhide is ready to face everyone's anger when the painting job gets delayed. However, he gets a surprise once he steps out of his house.",21 mins,01 Nov 2022
4,3605,Gokuldham Ki Diwali,"After the painting job gets completed, all Gokuldham residents celebrate Diwali together. The next day, Huma Qureshi and Sonakshi Sinha arrive at Gokuldham to meet Dr Hathi.",22 mins,02 Nov 2022
5,3606,Bapuji Ki Treat,"Bapuji treats Tapu Sena with pizzas to reward them for saving the Diwali celebrations. Meanwhile, Bhide decides to penalize Jethalal if he doesn't pay the maintenance cheque on time.",21 mins,03 Nov 2022
6,3607,Jethalal Ki Penalty,"Jethalal lies to Bapuji about giving the maintenance cheque. However, Bhide arrives at Jethalal's house and his lie comes out in front of everyone.",20 mins,04 Nov 2022
7,3608,Jethalal Ke Cheques,"Bagha and Nattu Kaka request Jethalal to sign some cheques. Later, Babita shows up at Jethalal's shop with some of her friends.",21 mins,05 Nov 2022
8,3609,Jethalal Ka Sabak,"Jethalal apologises to Bhide for not submitting the maintenance cheque on time. However, Bhide is adamant that if Jethalal doesn't pay the penalty, he will resign from the secretary post.",19 mins,07 Nov 2022
9,3610,Jethalal Ki Tarkeeb,Bhide agrees to accompany Jethalal and Taarak to the medical store. But he is unaware that it was all a trick to give him the maintenance cheque. What will Bhide do when he finds out the truth?,21 mins,08 Nov 2022
10,3611,Cheque Ka Hungama,Madhavi tells Bhide that she accidentally washed the kurta that the cheque was in. What will happen when Jethalal finds out about this?,22 mins,09 Nov 2022
11,3612,Guru Nanak Jayanti Ki Badhaiya,"Sodhi and his family celebrate Guru Nanak Jayanti with all Gokuldham residents. Meanwhile, Goli is scared as he spills chutney on Sakharam. What will Bhide do when he finds out?",21 mins,10 Nov 2022
12,3613,Guru Nanak Ji Ki Anmol Seekh,Sodhi and his family continue to celebrate Guru Nanak Jayanti and spread happiness among Gokuldham residents.,21 mins,11 Nov 2022
13,3614,Tapu Sena's Dinner Plan,Tapu Sena decides to take Bapuji out for dinner. Will their dinner plan be successful?,21 mins,12 Nov 2022
14,3615,Dinner With Bapuji,"Bapuji wants to go out for dinner with Tapu Sena, but Jethalal is worried about this plan. How will things pan out?",21 mins,14 Nov 2022
15,3616,Restaurant Pahuchne Mein Deri,"Problems keep piling up one after another, which causes a delay in the dinner plans. Can Tapu Sena and the others reach the restaurant in time?",20 mins,15 Nov 2022
16,3617,International Client,"Jethalal scolds Bagha when a customer complains about him. Later, an important client from abroad contacts Jethalal about a big contract.",22 mins,16 Nov 2022
17,3618,Taarak's Important Task,"Jethalal decides to bring Taarak along with him for the meeting with the international client. However, Taarak refuses as he gets assigned an important task by his boss. What will Jethalal do now?",22 mins,17 Nov 2022
18,3619, Office Se Chutti,Taarak decides to make an excuse to dodge office work and attend the meeting with Jethalal. Will this plan work?,22 mins,18 Nov 2022
19,3620, Taarak's Lie,Taarak decides to lie to his boss and help Jethalal instead of going to the office. Will Jethalal get into trouble because of this?,19 mins,19 Nov 2022
20,3621, International Client's Arrival,"Taarak arrives at Jethalal's shop, and all of them await the international client's arrival. Will the business deal go as planned?",21 mins,21 Nov 2022
21,3622, Taarak In A Mess,Things get complicated for Taarak as his boss reaches Gada Electronics. Will his boss find out that Taarak lied to him about his injury?,20 mins,22 Nov 2022
22,3623, A Surprise For Taarak,Taarak finds out that his boss is headed to his home to surprise him. Taarak rushes back before his boss finds out that he lied about his injury.,21 mins,23 Nov 2022
23,3624, Bhide And Abdul's Plan,"Bhide and Abdul try to think of excuses to stop Taarak's boss from entering the society. Meanwhile, Taarak and Jethalal encounter a lot of problems while on their way home.",21 mins,24 Nov 2022
24,3625, Doctor Hathi To The Rescue,"Doctor Hathi stalls Taarak's boss and takes him to his home. Meanwhile, Taarak encounters even more problems while on his way to Gokuldham. Will Taarak's boss find out about his lie?",21 mins,25 Nov 2022
25,3626, Tapu Sena's Distraction Plan,Tapu Sena coaxes Taarak's boss to play cricket with them. Will they be able to buy Taarak enough time to return home?,21 mins,26 Nov 2022
26,3627, Efforts Gone In Vain?,"Despite all the efforts from Gokuldham residents, Taarak's boss finally finds his way inside Taarak's house. What will happen when he finds out the truth?",20 mins,28 Nov 2022
27,3628, Sakharam Goes Missing,"Taarak tells everyone how he safely made it back home. Later, Bhide gets a shock as Sakharam goes missing from the society compound.",21 mins,29 Nov 2022
28,3629, Bhide's Search For Sakharam,Bhide takes Taarak's help to look for Sakharam. Bhide thinks that Jethalal has played a prank on him by taking Sakharam away. Will his hunch prove to be true?,21 mins,30 Nov 2022
29,3630, Late For Work,"Jethalal's tension begins in the morning as Nattu Kaka and Bagha get late for work. However, the tension seemingly goes away as Jethalal receives an order for two hundred TVs.",19 mins,01 Dec 2022
30,3631, Gambhir Mudda,"Jethalal has to go to Daman for an important meeting, and he gives Bhide the responsibility of taking care of Bapuji. Meanwhile, Popatlal gets a call from the marriage bureau about a potential match.",20 mins,02 Dec 2022
31,3632, Disheartened Popatlal,"Popatlal gets disheartened when things don't work out for him at the marriage bureau. Later, he eavesdrops on Bhide talking to someone about looking for a potential groom. Will Popatlal finally get a match?",22 mins,03 Dec 2022
32,3633, The Suitable Groom,Popatlal overhears Bhide's conversation and finds out that his uncle is looking for a suitable groom for his daughter. Will this be the opportunity to get married Popatlal was waiting for?,22 mins,05 Dec 2022
33,3634, Finding Vidya's Address,Popatlal takes help from Gogi and Goli to find Vidya's address and meet her in person. Will Popatlal's plan work?,21 mins,06 Dec 2022
34,3635, Shiv Ganga Village,"Popatlal, Gogi and Goli travel to Shiv Ganga village to meet Vidya and propose to her for marriage. Meanwhile, Bhide decides to apologise to Popatlal for his behaviour.",22 mins,07 Dec 2022
