,episode_number,Episode_title,description,Episode_runtime,Released_on
0,3701, Tapu Ka Result,"Tapu shows his disappointing exam results to Jethalal. Later, Tapu decides to talk to Jethalal about joining Gada Electronics.",22 mins,22 Feb 2023
1,3702, Gada Pariwaar Ki Nayi Bahu,Tapu's college friend comes to Gokuldham to meet him. Jethalal and Bapuji think this girl could be Tapu's future life partner. Will their assumption prove to be correct?,21 mins,23 Feb 2023
2,3703, Bhide Ka Sar Dard,"Sonu bursts Bhide's bubble and tells him that Missa is not Tapu's girlfriend. Meanwhile, Tapu celebrates his return by playing cricket with his friends in the society compound.",21 mins,24 Feb 2023
3,3704, Tapu Aur Champaklal Ka Dance,Jethalal tells Baga and Nattu kaka that Tapu is back. Tapu and his friends tell Champaklal they want to dance with him.,21 mins,25 Feb 2023
4,3705, Babita Needs Help,Babita wants to gift her cousin a TV which is high in demand. She asks Jethalal for his help in acquiring this TV. Will Jethalal accept her request?,21 mins,27 Feb 2023
5,3706, Jethalal Ki Pratigya,"Jethalal vows to shave his head if he is unable to fulfil his promise to Babita. Meanwhile, Bagha and Nattu Kaka find a customer for the TV.",21 mins,28 Feb 2023
6,3707, Profit Ka Dukh,"Bawri calls Bagha to fix her scooter. Meanwhile, Nattu Kaka is excited as he secured a profitable deal for the TV. What will Jethalal do when he finds out?",21 mins,01 Mar 2023
7,3708, Search For The TV,Jethalal throws a tantrum when he finds out that the TV has been sold. How will Jethalal fulfil the promise he made to Babita now?,21 mins,02 Mar 2023
8,3709, Jethalal Ke Baal Khatre Mein Hai,"Jethalal is unable to find the TV anywhere, and he feels hopeless. Meanwhile, Babita and Iyer arrive at Jethalal's shop, hoping to buy the TV from him. What will happen now?",21 mins,03 Mar 2023
9,3710, Jethalal Ka Promise,Jethlalal is stressed about the promise he made to Iyer. Bawri comes to Jethalal’s rescue. Will Jethalal keep the promise he made to Iyer?,22 mins,04 Mar 2023
10,3711, Holi Ki Taiyyari,The kids of the colony are excited for Holi and begin their preparations for a memorable celebration. Will everything go according to plan?,21 mins,06 Mar 2023
11,3712, Holika Dahan In Gokuldham,"Tapu Sena apologizes to Bhide for pranking him. Meanwhile, preparations for the Holi celebration continue in Gokuldham.",22 mins,07 Mar 2023
12,3713, Tapu Sena Ke Holi Plans,"Tapu Sena tells everyone about their Holi plans. However, Gokuldham residents are worried that something might go wrong as usual. What troubles will be waiting for them?",19 mins,08 Mar 2023
13,3714, Hungame Vaali Holi,"Members of the Tapu Sena cover Bhide with Holi colours and drench him with water. Later, Bhide finds out that Tapu mixed itching powder with the colour. What will happen now?",21 mins,09 Mar 2023
14,3715, Tension Ke Rang,"Gokuldham residents are waiting for Dr Hathi to arrive and treat Bhide. Meanwhile, Inspector Chalu Pandey pays them a surprise visit.",19 mins,10 Mar 2023
15,3716, Khujli Powder Ka Sach,"Inspector Pandey wants to arrest Tapu for throwing itching powder at Bhide. However, Dr Hathi arrives on time and decides to inspect the Holi colours. Will Dr Hathi prove Tapu's innocence?",22 mins,11 Mar 2023
16,3717, Aage Ki Soch,"Babita and Iyer come to Jethalal's house with a problem, and Tapu gives them a solution. Later, Jethalal asks Tapu about his future plans.",22 mins,13 Mar 2023
17,3718, Baccho Ka Bhavishya,All the parents are worried that the kids are not focused on their life goals. Tapu comes up with an idea which will alleviate their tension and also ensure that the fun in their life never ends.,21 mins,14 Mar 2023
18,3719, Tapu Sena's New Mission,Taarak talks to the kids about their career goals. Tapu promises that all of them will come up with a plan to make their families proud.,21 mins,15 Mar 2023
19,3720, Baccho Ka Secret Project,"Jethalal and the others ask for Bapuji's help to find out what Tapu Sena is up to. Meanwhile, the kids decide to present their secret project in front of everyone the next day.",22 mins,16 Mar 2023
20,3721, Tapu Sena Ka Nimantran,"Everyone is wondering what could be Tapu Sena's secret project. Meanwhile, Tapu Sena invites all the residents of Gokuldham to the clubhouse, where they will present their idea.",21 mins,17 Mar 2023
21,3722, Bhide Hai Pareshan,Bhide is worried and wants to find out what is Tapu Sena going to do at 8:30 pm and comes up with an idea. Will he be able to find out about their plan?,20 mins,18 Mar 2023
22,3723, Program Ka Chief Guest,Gokuldham residents arrive at the clubhouse for the special program. All of them are curious about the secret chief guest for their program. Who could it be?,20 mins,20 Mar 2023
23,3724, Suspense Khatam Hua,"The secret investor turns out to be none other than Asit Kumarr Modi, who helped Tapu Sena put their entire project together. Only one question remains now, what is this secret project that the kids have been working so hard for?",21 mins,21 Mar 2023
24,3725, Manoranjan Ka Khazana,"Gokuldham residents praise Tapu Sena for their innovative ideas and hard work. Later, Gokuldham residents celebrate Gudi Padwa together.",18 mins,22 Mar 2023
25,3726, Tapu Sena Ki Safalta,"Popatlal confronts Asit Kumarr Modi about not finding a suitable bride for him. Meanwhile, everyone enjoys the rhymes and mobile games created by Tapu Sena.",19 mins,23 Mar 2023
26,3727, Rickshaw Kahan Hain?,Jethalal and Babita cannot find an auto that is ready to take them to their destination. He then faces a group of angry auto drivers. Will Jethalal reach his shop in time with the important meeting inching closer?,22 mins,24 Mar 2023
