,episode_number,Episode_title,description,Episode_runtime,Released_on
0,1101,Keeping Away Sheru,"Jetha has many more ways of keeping Sheru away from the society, but all seem to fail. Dayaben tries to get the two to get befriended, but Jetha is not ready for it. Theplas are a great bond though. How will Jetha work this out?",20 mins,26 Mar 2020
1,1102,Daya Talks To Ajay,Jetha accuses Daya of being manipulative and calls her cunning. Daya is hurt and she decides to call her brother who is away from home - Ajay Devgn.,19 mins,26 Mar 2020
2,1103,Himmatwala,"When Daya calls up Ajay to tell him about Jetha hurting her, he comes to the society to see what is going on and Jetha apologizes.",19 mins,26 Mar 2020
3,1104,Jethas Prank,Jetha sticks a thepla on Iyers back and sees the fun as Iyer is chased around by Sheru. Iyer is scared for his life and starts running.,20 mins,26 Mar 2020
4,1105,Popatlals Dreams Of Marriage,"Yesterday's walk in the park was very exciting, as Sheru, along everyone else, met Pari. Popatlal is expecting Paris parents to come for him with a marriage proposal. Is Popatlal finally going to be happily married?",18 mins,26 Mar 2020
5,1106,A Dog House,"The female members of Gokuldham society decide to build a Dog House for Sheru, but Bhide has an option. Chameli Bhai gets introduced to Gokuldham members with regards to building a Dog House for Sheru.",17 mins,26 Mar 2020
6,1107,Sheru Goes Missing,"Sheru goes missing - All the members of Gokuldham society are searching Sheru in the colony. Jethalal, Taarak, Popatlal, Bhide and Mr. Iyer file a missing complaint of Sheru in the police station and also request Chalu Pandey to search Sheru.",18 mins,26 Mar 2020
7,1108,Popatlal Is Rude To Chalu Pandey,"Taarak's master plan to find Sheru - Popatlal, Bhide and Jethalal give more information about Sheru to Inspector Chalu Pandey. Popatlal talks rudely with Chalu Pandey. All the Female members of Gokuldham society are eagerly waiting for Sheru's arrival. All the members are immensely missing Sheru.",18 mins,26 Mar 2020
8,1109,The Advertisement,Popatlal is searching for Sheru far and wide. Jetha decides to give a prize of 5 Lakh rupees to anyone who finds Sheru and brings him back home safely.,18 mins,26 Mar 2020
9,1110,The Kidnappers,Changu and Mangu get special treatment - Jethalal is immensely missing Sheru. All the members of Gokuldham society are extremely happy and excited as Shery returns to Gokuldham society. Kidnappers have entered in Gokuldham society.,19 mins,26 Mar 2020
10,1111,The Confession,Changu and Mangu apologize to Jethalal and also reveal a shocking truth to all the members of Gokuldham Society. Inspector Chalu Pandey gets angry with Jethalal.,18 mins,26 Mar 2020
11,1112,The Decision,"Sheru reveals his final decision. Sheru's owner, Robert, assures Jethalal and other Gokuldham members that they can come to meet Sheru whenever they want. All the members of Gokuldham society get extremely emotional.",18 mins,26 Mar 2020
12,1113,Emergency At Roshans Place,Emergency in Roshans house - Jethalal feels prod that he caught the bag with one hand. All the members of Gokuldham society are trying to catch Googi who is strictly disagreeing to go to School until and unless Sodhi does not wish him all the best. Babuji gets angry with Bhide. There is an emergency in Roshans house.,20 mins,26 Mar 2020
13,1114,The Trip To Amritsar,"Taarak tries to solve Roshans problem - Daya, Roshan and Bhide rush to Taarak Mehtas house as Roshan urgently wants to leave for Amritsar. Taarak tries to solve Roshans problem. Jethalal, Baagha and Natu Kaka end up in comical argument. Emotional moment takes place between Googi and his Mother Roshan.",17 mins,26 Mar 2020
14,1115,A Task For Bagha,Jethalal gives a unique task to Baagha - All the members of Gokuldham society are taking extra care of Googi as Roshan and Sodhi are in Amritsar. Baagha assures Jethalal that he will complete his task. Bapuji gets scared of Googi.,19 mins,26 Mar 2020
15,1116,Jetha Shares The Secret,Jetha gets a gift for Gogi because Roshani is not here. It was Dayas idea to get the gift. Babita and Iyer didnt know anout this so Jetha tells them everything.,18 mins,26 Mar 2020
16,1117,Gogi Troubles Everyone,Gogi is now staying in Jethas house. Gogi behaves the same as he does at his place. Jetha finds it very annoying. Jetha goes along with him.,20 mins,26 Mar 2020
17,1118,Everyone Praises Bhide,"Gogi shoots up his gun and the stick is stuck to the roof. Iyer and Jetha wonder how they;ll get it down. Jetha shares the same with Bhide, Tarak and everyone praises Bhide for handling all the children during tuition.",20 mins,26 Mar 2020
18,1119,Champaklal Sits On Jetha,Jetha couldnt sleep in his bed because of Gogi so he sleeps on the couch. Champaklal sit on the couch without seeing Jetha who is sleeping there.,20 mins,26 Mar 2020
19,1120,Finding Gogis ID Card,Gogi loses his ID card and gives everyone a hard time about it. Everyone searches everywhere. Finally they gather and decide to search for it inside Gogis bag. Will they find it there?,19 mins,26 Mar 2020
20,1121,Jetha Is Upset,Gogi and Tapu return from school after exams and Jetha is worried that he wont be able to handle both Tapu and Gogi. Employees of Gada electronics help Jetha to come up with a plan to keep the kids busy.,20 mins,26 Mar 2020
