,episode_number,Episode_title,description,Episode_runtime,Released_on
0,3101,Jethalal Seeks More Help,"Jethalal and Mehta Sahab decide a plot where Bhide and Sodhi will become clients of Bhogilal's hotel so that they can catch him and ask for Jethalal’s payment. Later, Jethalal calls Bhide and Sodhi to his shop and explains everything.",21 mins,12 Feb 2021
1,3102,Bhide And Sodhi's Plan,"Bhide and Sodhi prepare their plan to visit Bhogilal's place. Sodhi calls his friends as their bodyguard for protection. Later, Jethalal also receives a call from Iyer asking for his delivery. Will Jethalal deliver the order in time?",20 mins,15 Feb 2021
2,3103,Sodhi Poses As Crorepati,"Bhide and Sodhi get ready and meet Sodhi's friends, who will go as their bodyguards. They meet with Jethalal to discuss their plan again. Soon, everyone leaves to visit Bhogilal's office to get Jethalal's money back.",20 mins,16 Feb 2021
3,3104,Jethalal Meets Bhogilal,"Sodhi and Bhide arrive at Bhogilal’s office and act as clients to set up the trap. Finally, Jethalal comes and they all threaten Bhogilal to give them the money. However, Bhogilal informs them he is in a poor financial situation due to which he won't be able to give the money.",21 mins,17 Feb 2021
4,3105,Jethalal In Deep Trouble,"Bhogilal reveals that the financial situation of his company has taken a massive hit during these trying times. He apologizes to Jethalal and Bagha for mistreating them and not being able to make the payment. Later, Sodhi and Bhide offer to take money from them to make the order for the tabs but Jethalal denies it.",20 mins,18 Feb 2021
5,3106,Jethalal Apologizes,"Jethalal feels guilty about not being able to fulfill Iyer's order. He visits Iyer's office, to tell the truth, and apologize to everyone. Later, he seems depressed as sits down to wonder, how to save his company.",21 mins,19 Feb 2021
6,3107,Jethalal Plans To Sell His Shop,"Bagha helps Jethalal come to his senses and go back home. On reaching home, he finds that everyone is gathered at his house and Babitaji has told Bapuji the truth. Later, Jethalal reveals his plans to come out of this slump.",20 mins,22 Feb 2021
7,3108,Gokuldham Without Jethalal,"Everyone tries to come up with alternate business options for Jethalal. However, Jethalal has decided that it will be best if he sells his shop to clear his dues and go back to his hometown. Everyone feels that the Gokuldham Society won't be the same without Jethalal.",20 mins,23 Feb 2021
8,3109,Jethalal Sells His Shop,"Jethalal finds a party that is interested to buy his shop immediately. The next day, the man arrives to give the cheque for Gada Electronics, but Bagha doesn’t hand over the keys. Jethalal gets furious and wakes up to realize that it was just a dream.",21 mins,24 Feb 2021
9,3110,Bapuji Finds A Solution,"Bapuji and Tapu make dinner and sweets for Jethalal to lift his spirit. However, Jethalal does not respond to Bapuji and Tapu’s surprise. Jethalal narrates his situation and talks about his decision to sell Gada Electronics. Bapuji tells Jethalal that they can sell their ancestral property and clear the debt.",20 mins,25 Feb 2021
10,3111,Sundar Brings Good News,"Jethalal reluctantly agrees to take Sundar's help for selling their ancestral property. Later, Sunder calls back to give them the good news that a party is ready to buy that property for Rs. 1 crore.",20 mins,26 Feb 2021
11,3112,Jethalal's Grandfather's Warning,"Jethalal informs everyone about the good news that he has received from Sundar. Later, everyone goes back home and expresses their gratitude for being safe and healthy during these trying times. At night, Jethalal's grandfather visits him in his dream and gives him a warning.",20 mins,01 Mar 2021
12,3113,Jethalal Has Changed His Mind,"Jethalal wakes Bapuji in the middle of the night and informs him about the dream that he saw. Bapuji explains that it is not Dadaji who is denying to sell the land but his own guilt. Next day, Sundar and his friends arrive at Jethalal’s house to leave for the meeting but Jethalal has changed his mind.",21 mins,02 Mar 2021
13,3114,Jethalal's Dilemma,"Bapuji dreams of his father, where he is told that he is doing a good job by selling the property. However, Bapuji is also told to protect and keep the business running. Later, the client contacts Sundar and tells him that he is ready to pay Rs. 1 crore for Jethalal's ancestral property.",20 mins,03 Mar 2021
14,3115,Bhogilal Is Sundar's Client,"After listening to Sundar talking to his client, everyone gets suspicious about his catchphrase. On questioning Sundar they find out that it is Bhogilal who wants to buy Jethalal's property for Rs. 1 crore. Everyone gets extremely angry and decides to set him up.",20 mins,04 Mar 2021
15,3116,Gokuldham Against Bhogilal,The residents of the Gokuldham society gather at Jethalal's house and make a plan to trap Bhogilal.,20 mins,05 Mar 2021
16,3117,Bhogilal Arrives,Bhogilal arrives at Gokuldham Society. Taarak and Sundar keep him busy downstairs while everyone at Jethalal's house is hiding inside the rooms and kitchen.,20 mins,08 Mar 2021
17,3118,Bhogilal Meets Bapuji,"Bhogilal is at Jethalal’s house and questions Bapuji about his land and his son. Meanwhile, other members of the Gokuldham Society are hiding in different rooms.",20 mins,09 Mar 2021
18,3119,Bapuji Signs The Papers,"Though Bhogilal gets suspicious, he manages to trust Bapuji and gives him papers to sign. However, Bhogilal shows his true colours when Sundar asks him to make the payment.",20 mins,10 Mar 2021
19,3120,Bhagwaan Bhogilal Ka Bhala Kare,Bhogilal is still making excuses for not being able to transfer the money. Everyone else is trying to find ways to procure the money that he owes to Jethalal. Will they succeed?,20 mins,11 Mar 2021
20,3121,Bhogilal Calls The Police,"After finding out that the members of the Gokuldham Society were trying to set him up, Bhogilal plans to turn the tables and get them arrested.",19 mins,12 Mar 2021
21,3122,Jethalal And Boghilal's Final Showdown,"Boghilal threatens that he will make sure Jethalal will be put behind bars for harassment. However, Jethalal has an ace up his sleeve that will put him in the clear.",22 mins,15 Mar 2021
22,3123,The End Of Boghilal,"Everyone celebrates as Boghilal is taken to prison, and Jethalal's problems come to an end. Later, Jethalal manages to fulfill Iyer's order.",21 mins,16 Mar 2021
23,3124,Happy Days Are Back Again,"All members of the Gokuldham Society are happy as they celebrate and dance together. Later, the ladies of Gokuldham gather near the vegetable stall and chat with each other.",21 mins,17 Mar 2021
24,3125,Discount On Tuition Fees,"At Bhide’s house, the parents of the students arrive and ask him to give a discount on tuition fees. All members of the Gokuldham Society want to go to Abdul’s soda shop. However, his shop is closed, so they gather at Taarak’s house to have a chat.",21 mins,18 Mar 2021
25,3126,Bhide's Online Classes,Bhide shares his online class issues with Taarak and Jethalal. He reveals the times have hindered the learning process for the children.,21 mins,19 Mar 2021
26,3127,The Students' Future,"Bhide’s students play antakshari during their online classes. Later, he complains about his students to other members of the Gokuldham Society. Everybody is tensed about the future of students as they have lost track of their studies due to lockdown.",21 mins,22 Mar 2021
27,3128,The New Normal,"Jethalal goes back and checks on Tapu’s online classes. Later, Taarak shares Bhide’s worry with Anjali and talks about the new normal.",21 mins,23 Mar 2021
28,3129,Jethalal's Maintenance Cheque,"Jethalal spends time with Babitaji on his balcony as Bapuji comes from behind and scolds Jethalal for wasting time. Later, Jethalal is stopped by Iyer and Popatlal who ask him for the society's maintenance cheque.",21 mins,24 Mar 2021
29,3130,Babita's Special Dinner,"Babita is planning to cook a special dinner for Iyer. Suddenly, Jethalal starts getting calls from an unknown number. Who could it be?",21 mins,25 Mar 2021
30,3131,Gas Cylinder For Babita,Jethalal comes back home to find a worried Babita standing outside. He asks her to not worry anymore as he is there to solve all her problems.,20 mins,26 Mar 2021
31,3132,Jethalal Delivers Gas Cylinder,"Jethalal manages to deliver the gas cylinder with the help of Doctor Hathi and Taarak Mehta. Later, Bapuji comes home and thinks that he has been robbed because of all the mess that Jethalal created.",21 mins,29 Mar 2021
